siteLabel,coordinate,siteID
Cultural Landscape of Hawraman/Uramanat,Point(46.47785 35.107358333),7899619
Cultural Landscape of Kenozero Lake,Point(38.172611 61.928),128597769
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Point(48.8854 40.7059),122852382
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,Point(100.0075 22.184166666),48928978
Cultural Landscape of Sintra,Point(-9.425398826 38.775676727),3848197
Cultural Landscape of the Serra de Tramuntana,Point(2.69472 39.73083),64860434
Cultural Reserve of Kernavė,Point(24.841666666 54.880555555),12676460
"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",Point(55.80638889 24.06777778),3962347
Cultural and Historic Ensemble of the Solovetsky Islands,Point(35.66666667 65.08333333),15980181
Curonian Spit,Point(20.970833333 55.274444444),5595
Cusco,Point(-71.983333 -13.522222),5582862
Cusco Cathedral,Point(-71.9781 -13.5163),2942242
Cuts National Cemetery,Point(3.092132 49.528857),19407145
Cutting National Cemetery,Point(6.835239 48.840694),20970719
Cyrene,Point(21.85 32.816666666),44112
Dacian Fortresses of the Orăștie Mountains,Point(23.3119 45.6231),729327
Dambulla cave temple,Point(80.6483403 7.856563),45690
Dambulla cave temple,Point(80.64916667 7.85666667),45690
Danevirke,Point(9.486666666 54.4775),689454
Danish soldiers cemetery in Braine,Point(3.532079 49.334678),12307718
Danube Delta,Point(29.5 45.2),184429
Darién National Park,Point(-77.54722222 7.73611111),48608
Dark Church,Point(34.846111 38.605278),114383869
Darmstadt Artists' Colony,Point(8.66650397 49.875433345),314730
Dasht-e Lut,Point(59.241111111 30.263888888),767128
Dazu Rock Carvings,Point(105.706944444 29.713333333),651278
Dead Cities,Point(36.84416667 36.33416667),393841
Decorated Farmhouses of Hälsingland,Point(16.195833333 61.707222222),1642003
"Deer Stone Monuments, the Heart of Bronze Age Culture",Point(101.225833333 47.742777777),66133349
Delos,Point(25.27122 37.39121),173148
Delphi,Point(22.501666666 38.482222222),75459
